title,number,state,created_at,user,commits,additions,deletions,changed_files,closed_at,body
"Try to fix linux build",7107,closed,2020-11-17T07:16:52Z,Siedlerchr,6,4,6,2,2020-11-17T16:34:29Z,"increase gradle heap    <!--   Describe the changes you have made here: what  why  ...   Link issues that are fixed  e.g. \"Fixes #333\".  If you fixed a koppor issue  link it  e.g. \"Fixes https://github.com/koppor/jabref/issues/47\".  The title of the PR must not reference an issue  because GitHub does not support autolinking there.  -->      <!--   - Go through the list below. If a task has been completed  mark it done by using `[x]`.  - Please don't remove any items  just leave them unchecked if they are not applicable.  -->    - [ ] Change in CHANGELOG.md described (if applicable)  - [ ] Tests created for changes (if applicable)  - [ ] Manually tested changed features in running JabRef (always required)  - [ ] Screenshots added in PR description (for UI changes)  - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.  "
"Bump gittools/actions from v0.9.5 to v0.9.6",7104,closed,2020-11-16T05:35:21Z,dependabot[bot],1,4,4,1,2020-11-16T05:53:11Z,"Bumps [gittools/actions](https://github.com/gittools/actions) from v0.9.5 to v0.9.6. <details> <summary>Commits</summary> <ul> <li><a href=\"https://github.com/GitTools/actions/commit/d7bba81943f5431469db0826e5352d97bb30b0b1\"><code>d7bba81</code></a> fix arguments parsing</li> <li><a href=\"https://github.com/GitTools/actions/commit/302eb63bc10e74a0d735f2b6e15eb44705fa12ea\"><code>302eb63</code></a> Bump @types/node from 14.14.6 to 14.14.7</li> <li><a href=\"https://github.com/GitTools/actions/commit/4c0ce0e112e12e0fe2d02be55b4d6fa655aa4a95\"><code>4c0ce0e</code></a> Bump ts-loader from 8.0.10 to 8.0.11</li> <li><a href=\"https://github.com/GitTools/actions/commit/a7224f586978a88b0d51c2b4345f26d3b3dcafb2\"><code>a7224f5</code></a> Updated dist files</li> <li><a href=\"https://github.com/GitTools/actions/commit/00d67e69f0d66ddf740cdca5f9255846cbe8212d\"><code>00d67e6</code></a> Bump typed-rest-client from 1.7.3 to 1.8.0</li> <li><a href=\"https://github.com/GitTools/actions/commit/6ef8699cb2750599ed69da2d979246d76b08f641\"><code>6ef8699</code></a> Bump ts-loader from 8.0.9 to 8.0.10</li> <li><a href=\"https://github.com/GitTools/actions/commit/1c12327cd04bbb7f02e6215e7c0d5993eccde494\"><code>1c12327</code></a> Bump terser-webpack-plugin from 4.2.3 to 5.0.3</li> <li>See full diff in <a href=\"https://github.com/gittools/actions/compare/v0.9.5...d7bba81943f5431469db0826e5352d97bb30b0b1\">compare view</a></li> </ul> </details> <br />   Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.  [//]: # (dependabot-automerge-start) [//]: # (dependabot-automerge-end)  ---  <details> <summary>Dependabot commands and options</summary> <br />  You can trigger Dependabot actions by commenting on this PR: - `@dependabot rebase` will rebase this PR - `@dependabot recreate` will recreate this PR  overwriting any edits that have been made to it - `@dependabot merge` will merge this PR after your CI passes on it - `@dependabot squash and merge` will squash and merge this PR after your CI passes on it - `@dependabot cancel merge` will cancel a previously requested merge and block automerging - `@dependabot reopen` will reopen this PR if it is closed - `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually - `@dependabot ignore this major version` will close this PR and stop Dependabot creating any more for this major version (unless you reopen the PR or upgrade to it yourself) - `@dependabot ignore this minor version` will close this PR and stop Dependabot creating any more for this minor version (unless you reopen the PR or upgrade to it yourself) - `@dependabot ignore this dependency` will close this PR and stop Dependabot creating any more for this dependency (unless you reopen the PR or upgrade to it yourself)   </details>"
"Bump org.beryx.jlink from 2.22.1 to 2.22.3",7103,closed,2020-11-16T05:34:43Z,dependabot[bot],1,1,1,1,2020-11-16T07:13:24Z,"Bumps org.beryx.jlink from 2.22.1 to 2.22.3.   [![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=org.beryx.jlink&package-manager=gradle&previous-version=2.22.1&new-version=2.22.3)](https://docs.github.com/en/github/managing-security-vulnerabilities/configuring-github-dependabot-security-updates)  Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.  [//]: # (dependabot-automerge-start) [//]: # (dependabot-automerge-end)  ---  <details> <summary>Dependabot commands and options</summary> <br />  You can trigger Dependabot actions by commenting on this PR: - `@dependabot rebase` will rebase this PR - `@dependabot recreate` will recreate this PR  overwriting any edits that have been made to it - `@dependabot merge` will merge this PR after your CI passes on it - `@dependabot squash and merge` will squash and merge this PR after your CI passes on it - `@dependabot cancel merge` will cancel a previously requested merge and block automerging - `@dependabot reopen` will reopen this PR if it is closed - `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually   </details>"
"Bump xmlunit-core from 2.8.0 to 2.8.1",7102,closed,2020-11-16T05:34:35Z,dependabot[bot],1,1,1,1,2020-11-18T10:24:47Z,"Bumps [xmlunit-core](https://github.com/xmlunit/xmlunit) from 2.8.0 to 2.8.1. <details> <summary>Release notes</summary> <p><em>Sourced from <a href=\"https://github.com/xmlunit/xmlunit/releases\">xmlunit-core's releases</a>.</em></p> <blockquote> <h2>XMLUnit for Java 2.8.1</h2> <p>The only real change when compared to XMLUnit for Java 2.8.0 is the introduction of a new <code>xmlunit-assertj3</code> module that requires AssertJ 3.18.1 or later in order to address a problem with running AssertJ tests in an OSGi environment.</p> <p>The original <code>xmlunit-assertj</code> module will still be supported.</p> <p>The full changelog of XMLUnit for Java 2.8.1</p> <ul> <li> <p>added a new xmlunit-assertj3 module that requires AssertJ 3.18.1 or later.</p> <p>This module no longer uses AssertJ internal classes that are not exported to OSGi environments and thus fixes issue <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a>.</p> <p>The module (like AssertJ 3.x itself) requires Java 8 at runtime and is similar to xmlunit-assertj but is no drop-in replacement. It uses a different Java package from xmlunit-assertj and <code>CompareAssert</code> will no longer throw a JUnit 4.x <code>ComparisonException</code> but an opentest4j <code>AssertionFailedError</code> instead.</p> <p>The existing xmlunit-assertj module will still be supported in future releases but expect AssertJ 3.x specific changes to only get applied to xmlunit-assertj3.</p> <p>Many thanks to <a href=\"https://github.com/Zegveld\">@Zegveld</a>  <a href=\"https://github.com/scordio\">@scordio</a> and  <a href=\"https://github.com/joel-costigliola\">@joel-costigliola</a>.</p> </li> </ul> </blockquote> </details> <details> <summary>Changelog</summary> <p><em>Sourced from <a href=\"https://github.com/xmlunit/xmlunit/blob/main/RELEASE_NOTES.md\">xmlunit-core's changelog</a>.</em></p> <blockquote> <h2>XMLUnit for Java 2.8.1 - /Released 2020-11-15/</h2> <ul> <li> <p>added a new xmlunit-assertj3 module that requires AssertJ 3.18.1 or later.</p> <p>This module no longer uses AssertJ internal classes that are not exported to OSGi environments and thus fixes issue <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a>.</p> <p>The module (like AssertJ 3.x itself) requires Java 8 at runtime and is similar to xmlunit-assertj but is no drop-in replacement. It uses a different Java package from xmlunit-assertj and <code>CompareAssert</code> will no longer throw a JUnit 4.x <code>ComparisonException</code> but an opentest4j <code>AssertionFailedError</code> instead.</p> <p>The existing xmlunit-assertj module will still be supported in future releases but expect AssertJ 3.x specific changes to only get applied to xmlunit-assertj3.</p> <p>Many thanks to <a href=\"https://github.com/Zegveld\">@Zegveld</a>  <a href=\"https://github.com/scordio\">@scordio</a> and <a href=\"https://github.com/joel-costigliola\">@joel-costigliola</a>.</p> </li> </ul> </blockquote> </details> <details> <summary>Commits</summary> <ul> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/4f40e461dfb74517f8c579d436a518c3866a5bef\"><code>4f40e46</code></a> cut XMLUnit 2.8.1</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/36470a14c116ddbd3d082ac6cbb310bc93a4960d\"><code>36470a1</code></a> document xmlunit-assertj3 module. closes <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a></li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/d62805dbdf5e771ef864f0166afd7f0d3497a23d\"><code>d62805d</code></a> migrated to travis-ci.com</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/7da8ed8be881397d7385e9da33f6b2172e9fbce0\"><code>7da8ed8</code></a> update javadocs for xmlunit-assertj3</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/39e8e9aade11f7f943fd3c20b8e7d8503fd869e0\"><code>39e8e9a</code></a> update release notes for <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a></li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/a1b5ea46727c5a526ea5328a2427cff19683f173\"><code>a1b5ea4</code></a> Merge pull request <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/206\">#206</a> from rigd-loxia/main</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/cfec6b12cb74b88406712cf59af61596c6b903a9\"><code>cfec6b1</code></a> <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/205\">#205</a>: escape '%'-signs for further handling in assertj.</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/6e1f83d68c028a5ed4bb1f6f8bbadc4181ca1024\"><code>6e1f83d</code></a> Use the now protected isElementOfCustomAssert  see <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a></li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/70df913acf9f233ba2c630f410341bb0d2a2af5d\"><code>70df913</code></a> hello is the expanded reference  nit xyzzy</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/18e329ef5245f818daa20c1a29101ef0557d96e0\"><code>18e329e</code></a> prepare for isElementOfCustomAssert becoming protected - see <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a></li> <li>Additional commits viewable in <a href=\"https://github.com/xmlunit/xmlunit/compare/v2.8.0...v2.8.1\">compare view</a></li> </ul> </details> <br />   [![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=org.xmlunit:xmlunit-core&package-manager=gradle&previous-version=2.8.0&new-version=2.8.1)](https://docs.github.com/en/github/managing-security-vulnerabilities/configuring-github-dependabot-security-updates)  Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.  [//]: # (dependabot-automerge-start) [//]: # (dependabot-automerge-end)  ---  <details> <summary>Dependabot commands and options</summary> <br />  You can trigger Dependabot actions by commenting on this PR: - `@dependabot rebase` will rebase this PR - `@dependabot recreate` will recreate this PR  overwriting any edits that have been made to it - `@dependabot merge` will merge this PR after your CI passes on it - `@dependabot squash and merge` will squash and merge this PR after your CI passes on it - `@dependabot cancel merge` will cancel a previously requested merge and block automerging - `@dependabot reopen` will reopen this PR if it is closed - `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually   </details>"
"Bump xmlunit-matchers from 2.8.0 to 2.8.1",7101,closed,2020-11-16T05:34:25Z,dependabot[bot],1,1,1,1,2020-11-18T09:53:31Z,"Bumps [xmlunit-matchers](https://github.com/xmlunit/xmlunit) from 2.8.0 to 2.8.1. <details> <summary>Release notes</summary> <p><em>Sourced from <a href=\"https://github.com/xmlunit/xmlunit/releases\">xmlunit-matchers's releases</a>.</em></p> <blockquote> <h2>XMLUnit for Java 2.8.1</h2> <p>The only real change when compared to XMLUnit for Java 2.8.0 is the introduction of a new <code>xmlunit-assertj3</code> module that requires AssertJ 3.18.1 or later in order to address a problem with running AssertJ tests in an OSGi environment.</p> <p>The original <code>xmlunit-assertj</code> module will still be supported.</p> <p>The full changelog of XMLUnit for Java 2.8.1</p> <ul> <li> <p>added a new xmlunit-assertj3 module that requires AssertJ 3.18.1 or later.</p> <p>This module no longer uses AssertJ internal classes that are not exported to OSGi environments and thus fixes issue <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a>.</p> <p>The module (like AssertJ 3.x itself) requires Java 8 at runtime and is similar to xmlunit-assertj but is no drop-in replacement. It uses a different Java package from xmlunit-assertj and <code>CompareAssert</code> will no longer throw a JUnit 4.x <code>ComparisonException</code> but an opentest4j <code>AssertionFailedError</code> instead.</p> <p>The existing xmlunit-assertj module will still be supported in future releases but expect AssertJ 3.x specific changes to only get applied to xmlunit-assertj3.</p> <p>Many thanks to <a href=\"https://github.com/Zegveld\">@Zegveld</a>  <a href=\"https://github.com/scordio\">@scordio</a> and  <a href=\"https://github.com/joel-costigliola\">@joel-costigliola</a>.</p> </li> </ul> </blockquote> </details> <details> <summary>Changelog</summary> <p><em>Sourced from <a href=\"https://github.com/xmlunit/xmlunit/blob/main/RELEASE_NOTES.md\">xmlunit-matchers's changelog</a>.</em></p> <blockquote> <h2>XMLUnit for Java 2.8.1 - /Released 2020-11-15/</h2> <ul> <li> <p>added a new xmlunit-assertj3 module that requires AssertJ 3.18.1 or later.</p> <p>This module no longer uses AssertJ internal classes that are not exported to OSGi environments and thus fixes issue <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a>.</p> <p>The module (like AssertJ 3.x itself) requires Java 8 at runtime and is similar to xmlunit-assertj but is no drop-in replacement. It uses a different Java package from xmlunit-assertj and <code>CompareAssert</code> will no longer throw a JUnit 4.x <code>ComparisonException</code> but an opentest4j <code>AssertionFailedError</code> instead.</p> <p>The existing xmlunit-assertj module will still be supported in future releases but expect AssertJ 3.x specific changes to only get applied to xmlunit-assertj3.</p> <p>Many thanks to <a href=\"https://github.com/Zegveld\">@Zegveld</a>  <a href=\"https://github.com/scordio\">@scordio</a> and <a href=\"https://github.com/joel-costigliola\">@joel-costigliola</a>.</p> </li> </ul> </blockquote> </details> <details> <summary>Commits</summary> <ul> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/4f40e461dfb74517f8c579d436a518c3866a5bef\"><code>4f40e46</code></a> cut XMLUnit 2.8.1</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/36470a14c116ddbd3d082ac6cbb310bc93a4960d\"><code>36470a1</code></a> document xmlunit-assertj3 module. closes <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a></li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/d62805dbdf5e771ef864f0166afd7f0d3497a23d\"><code>d62805d</code></a> migrated to travis-ci.com</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/7da8ed8be881397d7385e9da33f6b2172e9fbce0\"><code>7da8ed8</code></a> update javadocs for xmlunit-assertj3</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/39e8e9aade11f7f943fd3c20b8e7d8503fd869e0\"><code>39e8e9a</code></a> update release notes for <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a></li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/a1b5ea46727c5a526ea5328a2427cff19683f173\"><code>a1b5ea4</code></a> Merge pull request <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/206\">#206</a> from rigd-loxia/main</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/cfec6b12cb74b88406712cf59af61596c6b903a9\"><code>cfec6b1</code></a> <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/205\">#205</a>: escape '%'-signs for further handling in assertj.</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/6e1f83d68c028a5ed4bb1f6f8bbadc4181ca1024\"><code>6e1f83d</code></a> Use the now protected isElementOfCustomAssert  see <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a></li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/70df913acf9f233ba2c630f410341bb0d2a2af5d\"><code>70df913</code></a> hello is the expanded reference  nit xyzzy</li> <li><a href=\"https://github.com/xmlunit/xmlunit/commit/18e329ef5245f818daa20c1a29101ef0557d96e0\"><code>18e329e</code></a> prepare for isElementOfCustomAssert becoming protected - see <a href=\"https://github-redirect.dependabot.com/xmlunit/xmlunit/issues/203\">#203</a></li> <li>Additional commits viewable in <a href=\"https://github.com/xmlunit/xmlunit/compare/v2.8.0...v2.8.1\">compare view</a></li> </ul> </details> <br />   [![Dependabot compatibility score](https://dependabot-badges.githubapp.com/badges/compatibility_score?dependency-name=org.xmlunit:xmlunit-matchers&package-manager=gradle&previous-version=2.8.0&new-version=2.8.1)](https://docs.github.com/en/github/managing-security-vulnerabilities/configuring-github-dependabot-security-updates)  Dependabot will resolve any conflicts with this PR as long as you don't alter it yourself. You can also trigger a rebase manually by commenting `@dependabot rebase`.  [//]: # (dependabot-automerge-start) [//]: # (dependabot-automerge-end)  ---  <details> <summary>Dependabot commands and options</summary> <br />  You can trigger Dependabot actions by commenting on this PR: - `@dependabot rebase` will rebase this PR - `@dependabot recreate` will recreate this PR  overwriting any edits that have been made to it - `@dependabot merge` will merge this PR after your CI passes on it - `@dependabot squash and merge` will squash and merge this PR after your CI passes on it - `@dependabot cancel merge` will cancel a previously requested merge and block automerging - `@dependabot reopen` will reopen this PR if it is closed - `@dependabot close` will close this PR and stop Dependabot recreating it. You can achieve the same result by closing it manually   </details>"
"Added TIA Test Configurations",7098,closed,2020-11-15T12:34:34Z,ole-ve,1,29,0,1,2020-11-18T10:25:22Z,"<!--   Describe the changes you have made here: what  why  ...   Link issues that are fixed  e.g. \"Fixes #333\".  If you fixed a koppor issue  link it  e.g. \"Fixes https://github.com/koppor/jabref/issues/47\".  The title of the PR must not reference an issue  because GitHub does not support autolinking there.  -->      <!--   - Go through the list below. If a task has been completed  mark it done by using `[x]`.  - Please don't remove any items  just leave them unchecked if they are not applicable.  -->    - [x] Change in CHANGELOG.md described (if applicable)  - [x] Tests created for changes (if applicable)  - [x] Manually tested changed features in running JabRef (always required)  - [x] Screenshots added in PR description (for UI changes)  - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.  "
"Update antlr task + gradle",7097,closed,2020-11-14T17:48:39Z,Siedlerchr,7,24,198,11,2020-11-16T08:02:14Z,"Fixes #6431   Fixes koppor/Jabref#440    I finally found the solution.  Get rid of our AntlrPlugin and follow the idea from here:  https://stackoverflow.com/a/56029522/3450689    Update to gradle 6.6 and newer is not yet possible due to https://github.com/openjfx/javafx-gradle-plugin/issues/89  Make @koppor happy :)    <!--   Describe the changes you have made here: what  why  ...   Link issues that are fixed  e.g. \"Fixes #333\".  If you fixed a koppor issue  link it  e.g. \"Fixes https://github.com/koppor/jabref/issues/47\".  The title of the PR must not reference an issue  because GitHub does not support autolinking there.  -->      <!--   - Go through the list below. If a task has been completed  mark it done by using `[x]`.  - Please don't remove any items  just leave them unchecked if they are not applicable.  -->    - [ ] Change in CHANGELOG.md described (if applicable)  - [ ] Tests created for changes (if applicable)  - [x] Manually tested changed features in running JabRef (always required)  - [ ] Screenshots added in PR description (for UI changes)  - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.  "
"Fixing Group color not imported after closing the app",7096,closed,2020-11-14T01:43:38Z,HoussemNasri,2,5,2,2,2020-11-14T20:31:07Z,"- Hi  I found the bug #6999  it's caused by `org.jabref.logic.importer.util.GroupParser.searchGroupFromString()`  the problem is when parsing a search group most of the properties gets parsed by `searchGroupFromString()` but some properties like (expanded  color  iconName  description) gets parsed by another method `addGroupDetails()`  - to fix it instead of returning `searchGroup` right away i called `addGroupDetails()` on `searchGroup` to add the missing properties then I returned `searchGroup`  - Fixes #6999     - [x] Change in CHANGELOG.md described (if applicable)  - [ ] Tests created for changes (if applicable)  - [x] Manually tested changed features in running JabRef (always required)  - [ ] Screenshots added in PR description (for UI changes)  - [x] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.  "
"Fixed setting title of saved new library",7095,closed,2020-11-13T19:31:40Z,calixtus,1,2,2,2,2020-11-14T15:49:18Z,"follow up to #6129   fixes #7053     - [ ] Change in CHANGELOG.md described (if applicable)  - [ ] Tests created for changes (if applicable)  - [x] Manually tested changed features in running JabRef (always required)  - [ ] Screenshots added in PR description (for UI changes)  - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.  "
"Refine default preview",7093,closed,2020-11-10T21:37:28Z,koppor,1,18,19,2,2020-11-19T11:04:54Z,"This applies the quick fix proposed at https://github.com/JabRef/jabref/issues/7083. To implement the full functionality a longer thought on previews is requried.    I think  the first proposal is a good step towards a better preview: Show the full names of authors and editors  to list the editor only if no author is present  have the year ealier.     I disliked the default preview style  but could not make any (good) proposal. We need to keep the custom preview  because humanities have special requirements not met by CSL (especially displaying the comments field  ...)    - [x] Change in CHANGELOG.md described (if applicable)  - [ ] Tests created for changes (if applicable)  - [ ] Manually tested changed features in running JabRef (always required)  - [ ] Screenshots added in PR description (for UI changes)  - [ ] [Checked documentation](https://docs.jabref.org/): Is the information available and up to date? If not created an issue at <https://github.com/JabRef/user-documentation/issues> or  even better  submitted a pull request to the documentation repository.  "
