title,number,state,created_at,user,commits,additions,deletions,changed_files,closed_at,body
"Fix typo \"betweenn\"; reword \"Programmatically...\" sentence",34,closed,2020-09-18T17:39:28Z,mcp292,2,3,3,1,2020-10-13T20:20:32Z,None
"Create Mohammadinodoushan_Mohammad.md",33,closed,2020-09-11T04:00:31Z,mmohammadin,1,8,0,1,2020-09-15T17:21:12Z,"I am adding this as part of homework2"
"Create NANDADAPU_SHASHIDHAR.md",32,closed,2020-09-10T05:52:14Z,sn644,1,10,0,1,2020-09-15T17:20:52Z,None
"Create AERVA_RONITH.md",31,closed,2020-09-10T04:39:28Z,ron-117,1,12,0,1,2020-09-15T17:20:16Z,"pull request"
"Create Dahlmann_Alexander.md",30,closed,2020-09-10T04:07:02Z,Dahlmannnnn,1,9,0,1,2020-09-15T17:19:49Z,None
"Create Mosali_Nishitha.md",29,closed,2020-09-09T17:42:36Z,mnishitha,1,9,0,1,2020-09-15T17:18:34Z,None
"INF502_Assignment2_PART2",28,closed,2020-09-09T07:25:53Z,Manoj-Mallidi,2,12,0,1,2020-09-15T17:17:42Z,"This file consist of information about the research paper and a link to access it."
"Masha's most recent article",27,closed,2020-09-09T05:21:49Z,mashakostromitina,3,9,0,1,2020-09-15T17:15:33Z,"Here's the info about the most recent article I've read."
"add ZHUOXUAN_DENG.md",26,closed,2020-09-09T05:21:26Z,ZhuoxuanDeng,1,14,0,1,2020-09-15T17:14:08Z,None
"add ZHUOXUAN_DENG.md",25,closed,2020-09-09T05:14:31Z,ZhuoxuanDeng,1,14,0,1,2020-09-09T05:15:14Z,None
"Create ZHANG_YIFEI.md",24,closed,2020-09-09T04:00:55Z,EfayZ,1,10,0,1,2020-09-15T17:13:54Z,None
"Create JAIN_SALONI.md",23,closed,2020-09-09T02:42:05Z,salonij779,1,13,0,1,2020-09-15T17:13:27Z,None
"research folder added",22,closed,2020-09-09T01:35:44Z,akhikolla,1,77,0,1,2020-09-15T17:12:47Z,"submitting the contributions of the paper"
"Create RIGGS_BRIT.md",21,closed,2020-09-08T23:03:42Z,britriggs,1,8,0,1,2020-09-15T17:10:38Z,"This is for HW2 :exclamation::grey_exclamation::exclamation:"
"add CHEN_XIWEN.md in student",20,closed,2020-09-08T22:42:07Z,XiwenChen-NAU,2,11,0,1,2020-09-15T17:08:30Z,None
"Create XIWEN_CHEN.md",19,closed,2020-09-08T22:38:29Z,XiwenChen-NAU,1,11,0,1,2020-09-08T22:39:02Z,None
"Add files via upload",18,closed,2020-09-08T20:36:46Z,bill-roth,1,12,0,1,2020-09-15T17:08:20Z,"I _should_ be adding my part 2 file"
"Add Michael Partridge in students",17,closed,2020-09-08T20:23:39Z,mcp292,1,18,0,1,2020-09-15T17:07:44Z,"Completing this task for Part 2 of HW2."
"Create Ai_Zhang.md",16,closed,2020-09-08T18:51:44Z,AiZ123,1,17,0,1,2020-09-15T17:06:59Z,None
"Added PHILLIPS_PAUL.md",15,closed,2020-09-08T14:54:35Z,PaulDanPhillips,1,8,0,1,2020-09-08T16:02:14Z,None
"Create Ayodele_Oluwatosin.md",14,closed,2020-09-08T06:40:34Z,tossyne01,1,22,0,1,2020-09-08T16:01:44Z,None
"Create Ayodele_Oluwatosin.md",13,closed,2020-09-08T06:36:05Z,tossyne01,1,1,0,1,2020-09-08T06:37:34Z,None
"Merge to 501 Repository",12,closed,2020-09-08T00:10:05Z,simone-says,3,5,0,1,2020-09-08T03:03:00Z,None
"Merge Herman_Chloe.md",11,closed,2020-09-08T00:03:11Z,cherman2,3,6,0,1,2020-09-08T03:01:57Z,None
"Assignment2_part2",10,closed,2020-09-07T19:38:54Z,sara-meschi,2,17,0,1,2020-09-08T02:59:56Z,"Pull request for meschi_sara.md"
"Added Davis_Ryan.md and merging to Igor Steinmacher's master",9,closed,2020-09-07T16:19:10Z,Rad354,2,26,0,1,2020-09-08T02:58:57Z,None
"Larremore_Jolten.md",8,closed,2020-09-07T01:49:52Z,Jolt777,1,19,0,1,2020-09-08T02:58:00Z,None
"Junshi_Wei.md",7,closed,2020-09-06T23:28:50Z,JW2372,1,15,0,1,2020-09-08T02:57:14Z,None
"Create AGUILAR_MANUEL.md",6,closed,2020-09-06T22:49:02Z,manuelaguilarrios1,1,20,0,1,2020-09-08T02:56:11Z,"Part 2 of HW2."
"Added BRINK_DAVID.md",5,closed,2020-09-06T16:52:31Z,dbb4,1,12,0,1,2020-09-08T02:55:17Z,"Please pull my changes into your repo"
